,theta2,theta3,theta1,theta4
0,128.4742857142857,297.08,241.28928571428574,186.25785714285715
1,128.47357142857143,297.08,241.28928571428574,186.25714285714284
2,128.47357142857143,297.08,241.28857142857143,186.25714285714284
3,128.4742857142857,297.08,241.28857142857143,186.25714285714284
4,128.47357142857143,297.08,241.28857142857143,186.25785714285715
5,128.4742857142857,297.08,241.28928571428574,186.25714285714284
6,128.47357142857143,297.08,241.28928571428574,186.25714285714284
7,128.47357142857143,297.08,241.28857142857143,186.25714285714284
8,128.47357142857143,297.08,241.28928571428574,186.25785714285715
9,128.47357142857143,297.08,241.28928571428574,186.25714285714284
10,128.47357142857143,297.08,241.28857142857143,186.25714285714284
11,128.47357142857143,297.08,241.28928571428574,186.25785714285715
12,128.47357142857143,297.08,241.28857142857143,186.25785714285715
13,128.4742857142857,297.08,241.28857142857143,186.25714285714284
14,128.47357142857143,297.08,241.28857142857143,186.25785714285715
15,128.47357142857143,297.08,241.28857142857143,186.25785714285715
16,128.47357142857143,297.08,241.28857142857143,186.25785714285715
17,128.47357142857143,297.08,241.28857142857143,186.25785714285715
18,128.47357142857143,297.08,241.28857142857143,186.25785714285715
19,128.4742857142857,297.08,241.28857142857143,186.25785714285715
20,128.47357142857143,297.08,241.28857142857143,186.25785714285715
21,128.47357142857143,297.08,241.28857142857143,186.25714285714284
22,128.47357142857143,297.08,241.28857142857143,186.25785714285715
23,128.47357142857143,297.08,241.28857142857143,186.25785714285715
24,128.47357142857143,297.08,241.28857142857143,186.25785714285715
25,128.47357142857143,297.08,241.28857142857143,186.25785714285715
26,128.47357142857143,297.08,241.28857142857143,186.25785714285715
27,128.47357142857143,297.08,241.28857142857143,186.25785714285715
28,128.47357142857143,297.08,241.28857142857143,186.25785714285715
29,128.47357142857143,297.08,241.28857142857143,186.25785714285715
30,128.47357142857143,297.08,241.28857142857143,186.25785714285715
31,128.47357142857143,297.08,241.28857142857143,186.25785714285715
32,128.47357142857143,297.08,241.28857142857143,186.25785714285715
33,128.47357142857143,297.08,241.28928571428574,186.25785714285715
34,128.47357142857143,297.08,241.28857142857143,186.25785714285715
35,128.47357142857143,297.08,241.28857142857143,186.25785714285715
36,128.47357142857143,297.08,241.28857142857143,186.25785714285715
37,128.47357142857143,297.08,241.28857142857143,186.25785714285715
38,128.47357142857143,297.08,241.28857142857143,186.25785714285715
39,128.47357142857143,297.08,241.28857142857143,186.25785714285715
40,128.47357142857143,297.08,241.28857142857143,186.25785714285715
41,128.47357142857143,297.08,241.28857142857143,186.25785714285715
42,128.47357142857143,297.08,241.28857142857143,186.25785714285715
43,128.47357142857143,297.08,241.28857142857143,186.25785714285715
44,128.47357142857143,297.08,241.28857142857143,186.25785714285715
45,128.47357142857143,297.08,241.28857142857143,186.25785714285715
46,128.47357142857143,297.08,241.28857142857143,186.25785714285715
47,128.47357142857143,297.08,241.28857142857143,186.25785714285715
48,128.47357142857143,297.08,241.28928571428574,186.25785714285715
49,128.47357142857143,297.08,241.28857142857143,186.25785714285715
50,128.47357142857143,297.08,241.28928571428574,186.25785714285715
51,128.47357142857143,297.08,241.28928571428574,186.25785714285715
52,128.47357142857143,297.08,241.28928571428574,186.25785714285715
53,128.47357142857143,297.08,241.28928571428574,186.25785714285715
54,128.47357142857143,297.08,241.28928571428574,186.25785714285715
55,128.47357142857143,297.08,241.28928571428574,186.25785714285715
56,128.47357142857143,297.0792857142857,241.28857142857143,186.25785714285715
57,128.47357142857143,297.08,241.28928571428574,186.25785714285715
58,128.47357142857143,297.08,241.28857142857143,186.25785714285715
59,128.47357142857143,297.08,241.28857142857143,186.25785714285715
60,128.47357142857143,297.08,241.28928571428574,186.25785714285715
61,128.47357142857143,297.08,241.28857142857143,186.25785714285715
62,128.47357142857143,297.08,241.28928571428574,186.25785714285715
63,128.47357142857143,297.08,241.28928571428574,186.25785714285715
64,128.47357142857143,297.08,241.28928571428574,186.25785714285715
65,128.47357142857143,297.08,241.28928571428574,186.25785714285715
66,128.47357142857143,297.08,241.28928571428574,186.25785714285715
67,128.47357142857143,297.08,241.28928571428574,186.25785714285715
68,128.47357142857143,297.08,241.28928571428574,186.25785714285715
69,128.47357142857143,297.08,241.28928571428574,186.25785714285715
70,128.47357142857143,297.08,241.28928571428574,186.25785714285715
71,128.47357142857143,297.08,241.28857142857143,186.25785714285715
72,128.47357142857143,297.08,241.28928571428574,186.25785714285715
73,128.47357142857143,297.08,241.28928571428574,186.25785714285715
74,128.47357142857143,297.08,241.28928571428574,186.25785714285715
75,128.47357142857143,297.08,241.28857142857143,186.25785714285715
76,128.47357142857143,297.08,241.28928571428574,186.25785714285715
77,128.47357142857143,297.08,241.28857142857143,186.25785714285715
78,128.47357142857143,297.08,241.28857142857143,186.25785714285715
79,128.47357142857143,297.08,241.28857142857143,186.25785714285715
80,128.47357142857143,297.08,241.28928571428574,186.25785714285715
81,128.47357142857143,297.08,241.28928571428574,186.25785714285715
82,128.47357142857143,297.08,241.28857142857143,186.25785714285715
83,128.47357142857143,297.08,241.28857142857143,186.25785714285715
84,128.47357142857143,297.08,241.28928571428574,186.25785714285715
85,128.47357142857143,297.08,241.28857142857143,186.25785714285715
86,128.47357142857143,297.08,241.28857142857143,186.25785714285715
87,128.47357142857143,297.08,241.28857142857143,186.25785714285715
88,128.47357142857143,297.08,241.28857142857143,186.25785714285715
89,128.47357142857143,297.08,241.28857142857143,186.25785714285715
90,128.47357142857143,297.08,241.28857142857143,186.25785714285715
91,128.47357142857143,297.08,241.28857142857143,186.25785714285715
